timestamp,container,cpu_pct,mem_usage,mem_pct
1774951909,ads_postgres,1268.07%,200.4MiB / 13.58GiB,1.44%
1774951914,ads_sql_api,18.10%,58.96MiB / 13.58GiB,0.42%
1774951914,ads_postgres,1161.04%,197.5MiB / 13.58GiB,1.42%
1774951919,ads_sql_api,17.93%,60.08MiB / 13.58GiB,0.43%
1774951919,ads_postgres,1208.31%,200MiB / 13.58GiB,1.44%
1774951925,ads_sql_api,20.86%,59.4MiB / 13.58GiB,0.43%
1774951925,ads_postgres,1166.14%,196.2MiB / 13.58GiB,1.41%
1774951930,ads_sql_api,19.49%,59.34MiB / 13.58GiB,0.43%
1774951930,ads_postgres,1183.77%,197.8MiB / 13.58GiB,1.42%
1774951934,ads_sql_api,20.59%,57.9MiB / 13.58GiB,0.42%
1774951935,ads_postgres,1162.64%,199.5MiB / 13.58GiB,1.43%
1774951940,ads_sql_api,18.66%,58.62MiB / 13.58GiB,0.42%
1774951940,ads_postgres,1193.02%,203.2MiB / 13.58GiB,1.46%
1774951945,ads_sql_api,27.13%,58.27MiB / 13.58GiB,0.42%
1774951945,ads_postgres,1343.53%,201MiB / 13.58GiB,1.45%
1774951950,ads_sql_api,24.18%,58.75MiB / 13.58GiB,0.42%
1774951950,ads_postgres,1273.68%,196.8MiB / 13.58GiB,1.42%
1774951955,ads_sql_api,18.72%,59.28MiB / 13.58GiB,0.43%
1774951955,ads_postgres,1269.63%,191.2MiB / 13.58GiB,1.38%
1774951960,ads_sql_api,23.31%,59.16MiB / 13.58GiB,0.43%
1774951960,ads_postgres,1179.11%,194.4MiB / 13.58GiB,1.40%
1774951965,ads_sql_api,23.97%,60.6MiB / 13.58GiB,0.44%
1774951965,ads_postgres,1194.85%,200.5MiB / 13.58GiB,1.44%
1774951970,ads_sql_api,20.20%,59.36MiB / 13.58GiB,0.43%
1774951970,ads_postgres,1178.64%,195.9MiB / 13.58GiB,1.41%
1774951975,ads_sql_api,18.42%,60.11MiB / 13.58GiB,0.43%
1774951975,ads_postgres,1169.52%,186.1MiB / 13.58GiB,1.34%
1774951980,ads_sql_api,15.93%,60.06MiB / 13.58GiB,0.43%
1774951980,ads_postgres,1159.09%,193.7MiB / 13.58GiB,1.39%
1774951985,ads_sql_api,16.68%,60.87MiB / 13.58GiB,0.44%
